ProductId,Gender,ColorGroup,ProductType
593444,kadin,lacivert,atlet
593704,erkek,kahverengi,sort
593710,erkek,kahverengi,sort
595283,kadin,gri,babet
595327,kadin,bordo,tulum
595481,kadin,beyaz,tulum
596945,kadin,beyaz,tulum
597557,kadin,bej,t-shirt
597559,kadin,bej,t-shirt
597582,kadin,bej,sort
598563,kadin,lacivert,babet
599159,erkek,bordo,sort
599380,erkek,bordo,sort
599475,erkek,bej,sort
599671,kadin,beyaz,tulum
599997,kadin,gri,t-shirt
599999,kadin,bordo,sweatshirt
600848,erkek,kahverengi,sort
601405,kadin,mavi,yelek
602455,kadin,mavi,tulum
602571,kadin,gri,sort
602580,kadin,bej,etek
602812,kadin,beyaz,tulum
603415,kadin,gri,tulum
603638,kadin,beyaz,esofman-takim
603639,kadin,yesil,esofman-takim
604224,erkek,lacivert,atlet
604225,erkek,mavi,atlet
604342,erkek,kahverengi,sort
604589,kadin,gri,tulum
607573,kadin,kahverengi,t-shirt
608045,kadin,yesil,sort
608046,kadin,siyah,sort
608182,kadin,beyaz,tulum
608382,kadin,yesil,tulum
608386,kadin,bej,sort
609338,kadin,bordo,sort
609376,kadin,yesil,tulum
609890,erkek,gri,sort
609962,kadin,siyah,sort
610928,kadin,beyaz,tayt
611299,kadin,kahverengi,lifestyle-ayakkabi
611784,kadin,beyaz,esofman-takim
611852,erkek,beyaz,sort
611968,kadin,yesil,tayt
611970,kadin,lacivert,tayt
611979,kadin,lacivert,zip-ceket
612505,kadin,beyaz,yelek
612721,kadin,yesil,bot
612758,kadin,bordo,jean-pantolon
613355,kadin,lacivert,tulum
614786,kadin,mavi,sweatpant
615387,erkek,gri,mont
616356,kadin,yesil,yelek
616837,kadin,bordo,topuklu-ayakkabi
618315,erkek,gri,kazak
618324,kadin,mavi,kazak
618502,kadin,bej,tulum
619266,kadin,mavi,bra
619308,kadin,yesil,tayt
619513,kadin,kahverengi,ceket
619748,erkek,bej,sweatshirt
620297,erkek,bej,lifestyle-ayakkabi
620362,kadin,kahverengi,lifestyle-ayakkabi
620765,kadin,bordo,jean-pantolon
621076,erkek,kahverengi,esofman-alti
621926,kadin,bej,etek
621935,kadin,bej,sweatshirt
621938,kadin,bej,sweatshirt
621979,kadin,kahverengi,etek
622260,kadin,bej,t-shirt
623062,kadin,bordo,babet
623064,kadin,lacivert,babet
623941,kadin,bordo,yelek
624266,kadin,bej,yelek
625561,erkek,bej,sweatshirt
625723,kadin,gri,bra
625727,kadin,yesil,sort
625849,erkek,bordo,sweatpant
626019,erkek,bej,sweatpant
626265,kadin,bej,yelek
626573,kadin,yesil,sweatpant
626586,kadin,bordo,bra
626587,kadin,bej,bra
627289,kadin,lacivert,t-shirt
627291,kadin,lacivert,tayt
627364,kadin,mavi,sort
627389,kadin,yesil,jean-pantolon
627425,erkek,kahverengi,sweatshirt
627482,kadin,mavi,sweatpant
628169,erkek,mavi,bot
628261,erkek,beyaz,sweatpant
629403,erkek,bej,bot
629489,kadin,bej,bot
629631,erkek,mavi,bot
629924,kadin,lacivert,zip-ceket
630024,kadin,beyaz,zip-ceket
630030,kadin,bordo,t-shirt
630114,kadin,beyaz,jean-pantolon
630382,kadin,yesil,jean-pantolon
630577,erkek,kahverengi,jean-pantolon
630670,kadin,mavi,sweatpant
630672,kadin,bordo,sweatpant
630674,kadin,lacivert,sweatpant
630758,kadin,gri,sort
631017,kadin,lacivert,tulum
631325,erkek,mavi,esofman-alti
631419,erkek,bej,sweatshirt
631586,kadin,gri,tulum
631587,kadin,bordo,tulum
631589,kadin,yesil,tulum
631593,kadin,mavi,tulum
631613,kadin,siyah,tulum
631627,kadin,bej,ceket
631672,kadin,lacivert,t-shirt
631674,kadin,lacivert,zip-ceket
633727,kadin,kahverengi,bot
633759,erkek,mavi,bot
634354,erkek,kahverengi,sweatshirt
634356,erkek,kahverengi,sweatshirt
634380,kadin,bordo,tayt
634792,erkek,bordo,takim-elbise
634799,erkek,kahverengi,takim-elbise
634998,erkek,mavi,esofman-takim
635407,kadin,bej,lifestyle-ayakkabi
635589,kadin,yesil,atlet
635590,kadin,lacivert,atlet
635927,erkek,bordo,mont
636332,erkek,bordo,takim-elbise
636333,erkek,kahverengi,takim-elbise
636566,kadin,yesil,esofman-alti
636722,kadin,bordo,ceket
637226,kadin,beyaz,sweatshirt
637439,kadin,gri,ayakkabi
637676,erkek,beyaz,yelek
637707,kadin,yesil,babet
637997,erkek,yesil,esofman-alti
638151,erkek,beyaz,esofman-takim
638236,erkek,bordo,bot
638533,erkek,bej,bot
638603,kadin,bordo,babet
638735,erkek,beyaz,takim-elbise
638824,erkek,bordo,takim-elbise
638839,erkek,bej,bot
638911,kadin,yesil,sweatshirt
639554,kadin,yesil,yelek
639556,kadin,lacivert,yelek
639557,kadin,mavi,yelek
639584,kadin,kahverengi,yelek
639858,kadin,mavi,esofman-takim
640376,kadin,gri,tayt
640395,kadin,bej,yelek
640473,erkek,bej,bot
640547,erkek,mavi,bot
640638,erkek,bordo,ayakkabi
640846,kadin,yesil,sweatshirt
640901,kadin,yesil,tayt
640903,kadin,kahverengi,tayt
640906,kadin,beyaz,tayt
641154,kadin,yesil,yelek
641166,kadin,bordo,yelek
641167,kadin,lacivert,yelek
641763,kadin,lacivert,yelek
641970,kadin,beyaz,polar-sweatshirt
642011,kadin,yesil,yelek
642981,kadin,yesil,lifestyle-ayakkabi
643955,erkek,kahverengi,takim-elbise
644242,erkek,bej,lifestyle-ayakkabi
644290,kadin,bordo,yelek
644291,kadin,mavi,yelek
644798,erkek,bordo,bot
645118,kadin,bej,etek
645119,kadin,bordo,etek
645176,kadin,kahverengi,pantolon
645178,kadin,kahverengi,ceket
645284,kadin,beyaz,atlet
645285,kadin,mavi,atlet
645286,kadin,beyaz,atlet
645287,kadin,beyaz,atlet
645311,kadin,gri,bra
645316,kadin,siyah,bra
645318,kadin,siyah,bra
645319,kadin,gri,bra
645330,kadin,siyah,bra
645331,kadin,siyah,bra
645448,erkek,bordo,pantolon
645482,kadin,kahverengi,pantolon
645484,kadin,beyaz,yelek
646188,kadin,kahverengi,etek
646193,kadin,mavi,polar-sweatshirt
646287,kadin,kahverengi,ceket
646362,kadin,bej,sweatshirt
646770,kadin,bordo,lifestyle-ayakkabi
646863,erkek,gri,bot
647011,kadin,bej,tayt
647101,kadin,bej,ceket
647158,kadin,bordo,lifestyle-ayakkabi
647242,erkek,kahverengi,sweatshirt
647245,kadin,lacivert,bot
647345,erkek,gri,bot
647425,kadin,mavi,polar-sweatshirt
647485,erkek,bordo,takim-elbise
647515,erkek,gri,bot
